TeamID,team_abbreviation,Division,Conference
400000,CHI,Central,Eastern
400001,LAC,Pacific,Western
400002,TOR,Atlantic,Eastern
400003,DAL,Southwest,Western
400004,MIA,Southeast,Eastern
400005,HOU,Southwest,Western
400006,LAL,Pacific,Western
400007,ATL,Southeast,Eastern
400008,MIL,Central,Eastern
400009,DEN,Northwest,Western
400010,SEA,Northwest,Western
400011,POR,Northwest,Western
400012,VAN,Southwest,Western
400013,NJN,Atlantic,Eastern
400014,BOS,Atlantic,Eastern
400015,IND,Central,Eastern
400016,SAC,Pacific,Western
400017,MIN,Northwest,Western
400018,PHI,Atlantic,Eastern
400019,ORL,Southeast,Eastern
400020,SAS,Southwest,Western
400021,PHX,Pacific,Western
400022,DET,Central,Eastern
400023,CHH,Central,Eastern
400024,CLE,Central,Eastern
400025,GSW,Pacific,Western
400026,UTA,Northwest,Western
400027,WAS,Southeast,Eastern
400028,NYK,Atlantic,Eastern
400029,MEM,Southwest,Western
400030,NOH,Southwest,Western
400031,CHA,Southeast,Eastern
400032,NOK,Southwest,Western
400033,OKC,Northwest,Western
400034,BKN,Atlantic,Eastern
400035,NOP,Southwest,Western
